종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
267290,경동도시가스,24250,-100,-0.41,KOSPI,전기가스업,142963595500,3224,60459,875,3.61,,7.52,0.4,,
134790,시디즈,71300,400,0.56,KOSPI,기타제조업,1.426e+11,10331,24393,300,0.42,,6.9,2.92,,
001260,남광토건,14450,-150,-1.03,KOSPI,건설업,142027619450,1401,6746,0,0,,10.31,2.14,,
010960,삼호개발,5660,-80,-1.39,KOSPI,건설업,1.415e+11,802,8443,190,3.36,,7.06,0.67,,
120030,조선선재,112500,-2500,-2.17,KOSPI,기계,141485737500,8778,92985,1500,1.33,,12.82,1.21,,
093240,형지엘리트,4535,-255,-5.32,KOSPI,섬유의복,141287008930,,2007,0,0,,,2.26,,
002760,보락,2355,-55,-2.28,KOSPI,화학,141064500000,7,735,4,0.17,,336.43,3.2,,
013520,화승코퍼레이션,2790,50,1.82,KOSPI,운수장비,139642993080,,3196,25,0.9,,,0.87,,
000890,보해양조,1020,0,0,KOSPI,음식료품,139521698580,14,617,0,0,,72.86,1.65,,
023000,삼원강재,3475,-15,-0.43,KOSPI,운수장비,1.39e+11,204,5319,105,3.02,,17.03,0.65,,
020760,일진디스플,4030,-30,-0.74,KOSPI,전기전자,138907192580,,939,0,0,,,4.29,,
003650,미창석유,79500,-1500,-1.85,KOSPI,화학,138303924000,12962,159298,2100,2.64,,6.13,0.5,,
214420,토니모리,7500,100,1.35,KOSPI,화학,137877907500,,3554,0,0,,,2.11,,
011390,부산산업,130500,0,0,KOSPI,비금속광물,1.37808e+11,2333,54994,250,0.19,,55.94,2.37,,
067830,세이브존I&C,3355,-20,-0.59,KOSPI,유통업,137692202725,262,11015,30,0.89,,12.81,0.3,,
013870,지엠비코리아,7210,10,0.14,KOSPI,운수장비,137511138800,,11553,0,0,,,0.62,,
005740,크라운해태홀딩스,9260,-40,-0.43,KOSPI,기타금융,137486433220,1527,18262,100,1.08,,6.06,0.51,,
016090,대현,3095,-285,-8.43,KOSPI,섬유의복,137053749450,204,4597,40,1.29,,15.17,0.67,,
005010,휴스틸,17800,-1150,-6.07,KOSPI,철강금속,136272617000,1134,54380,200,1.12,,15.7,0.33,,
002720,국제약품,7030,-80,-1.13,KOSPI,의약품,135510912700,120,3659,0,0,,58.58,1.92,,
069730,DSR제강,9410,-1340,-12.47,KOSPI,철강금속,1.35504e+11,367,10157,40,0.43,,25.64,0.93,,
003350,한국화장품제조,29850,-100,-0.33,KOSPI,화학,135280200000,,9768,0,0,,,3.06,,
004840,DRB동일,6780,190,2.88,KOSPI,화학,135125400000,121,17702,50,0.74,,56.03,0.38,,
