종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
034120,SBS,코스피,서비스업,19550,-350,356837978100,2020-11-19,-,19550,1114,17.55,31799,0.61,150,0.77,,
084680,이월드,코스피,서비스업,3445,55,355316945165,2020-11-19,-,3445,27,127.59,2729,1.26,0,0,,
002780,진흥기업,코스피,건설업,2425,-5,352768981625,2020-11-19,-,2425,140,17.32,664,3.65,0,0,,
001510,SK증권,코스피,금융업,744,-21,351607087224,2020-11-19,-,744,67,11.1,1197,0.62,10,1.34,,
005950,이수화학,코스피,화학,15100,100,348458804200,2020-11-19,-,15100,,,18013,0.84,400,2.65,,
000370,한화손해보험,코스피,금융업,2965,-25,346130882975,2020-11-19,-,2965,,,12154,0.24,0,0,,
072710,농심홀딩스,코스피,금융업,74500,400,345515355000,2020-11-19,-,74500,7887,9.45,198514,0.38,2000,2.68,,
029460,케이씨,코스피,의료정밀,25050,200,339528802200,2020-11-19,-,25050,4054,6.18,33184,0.75,250,1,,
016800,퍼시스,코스피,기타제조,29400,100,3.381e+11,2020-11-19,-,29400,3601,8.16,38601,0.76,1000,3.4,,
004700,조광피혁,코스피,기타제조,50800,400,337776210400,2020-11-19,-,50800,4076,12.46,41361,1.23,0,0,,
004430,송원산업,코스피,화학,13900,-200,3.336e+11,2020-11-19,-,13900,1448,9.6,17983,0.77,150,1.08,,
000050,경방,코스피,유통업,12050,-400,330354003500,2020-11-19,-,12050,1630,7.39,27050,0.45,125,1.04,,
004690,삼천리,코스피,전기가스업,81400,0,330079035000,2020-11-19,-,81400,10614,7.67,316716,0.26,3000,3.69,,
002960,한국쉘석유,코스피,화학,251500,500,3.2695e+11,2020-11-19,-,251500,16174,15.55,75323,3.34,16000,6.36,,
019680,대교,코스피,서비스업,3830,-25,324411915500,2020-11-19,-,3830,190,20.16,5848,0.65,170,4.44,,
095720,웅진씽크빅,코스피,서비스업,2760,55,324028393920,2020-11-19,-,2760,,,3510,0.79,310,11.23,,
195870,해성디에스,코스피,전기전자,18850,50,3.2045e+11,2020-11-19,-,18850,1078,17.49,12267,1.54,350,1.86,,
000480,조선내화,코스피,비금속광물,80100,200,3.204e+11,2020-11-19,-,80100,7493,10.69,147942,0.54,4000,4.99,,
017940,E1,코스피,유통업,45700,-1100,3.13502e+11,2020-11-19,-,45700,,,166288,0.27,2200,4.81,,
213500,한솔제지,코스피,종이목재,13100,-100,311787545600,2020-11-19,-,13100,1683,7.78,24810,0.53,600,4.58,,
122900,아이마켓코리아,코스피,유통업,8790,30,311107458600,2020-11-19,-,8790,483,18.2,10185,0.86,600,6.83,,
152330,코리아오토글라스,코스피,비금속광물,15550,250,3.11e+11,2020-11-19,-,15550,1651,9.42,18044,0.86,900,5.79,,
161000,애경유화,코스피,화학,9700,810,3.10788e+11,2020-11-19,-,9700,966,10.04,11336,0.86,350,3.61,,
234080,JW생명과학,코스피,의약품,19500,50,308773803000,2020-11-19,-,19500,1385,14.08,7744,2.52,500,2.56,,
007810,코리아써키트,코스피,전기전자,13050,-50,308250800550,2020-11-19,-,13050,25,522,12169,1.07,0,0,,
079430,현대리바트,코스피,기타제조,14850,0,304948937700,2020-11-19,-,14850,968,15.34,22301,0.67,150,1.01,,
214330,금호에이치티,코스피,운수장비,2660,190,303251435340,2020-11-19,-,2660,,,2439,1.09,0,0,,
003300,한일홀딩스,코스피,비금속광물,52600,0,303142005600,2020-11-19,-,52600,2304,22.83,166986,0.31,2300,4.37,,
101140,비티원,코스피,유통업,6650,-150,301914575200,2020-11-19,-,6650,410,16.22,1664,4,0,0,,
037270,YG PLUS,코스피,서비스업,5060,-80,301014567700,2020-11-19,-,5060,,,1562,3.24,0,0,,
037560,LG헬로비전,코스피,서비스업,3880,-25,300493836200,2020-11-19,-,3880,,,12283,0.32,75,1.93,,
272550,삼양패키징,코스피,화학,21100,-400,299826864400,2020-11-19,-,21100,1998,10.56,20142,1.05,750,3.55,,
002210,동성제약,코스피,의약품,11450,0,298856106500,2020-11-19,-,11450,,,2689,4.26,0,0,,
002310,아세아제지,코스피,종이목재,33000,-750,295564566000,2020-11-19,-,33000,6860,4.81,65302,0.51,600,1.82,,
092230,KPX홀딩스,코스피,화학,69800,800,294880290800,2020-11-19,-,69800,8406,8.3,149477,0.47,2600,3.72,,
077500,유니퀘스트,코스피,유통업,10700,100,292080307500,2020-11-19,-,10700,953,11.23,7830,1.37,150,1.4,,
002240,고려제강,코스피,철강금속,14500,-300,2.9e+11,2020-11-19,-,14500,499,29.06,68831,0.21,350,2.41,,
058650,세아홀딩스,코스피,철강금속,71700,-400,2.868e+11,2020-11-19,-,71700,7707,9.3,491403,0.15,2250,3.14,,
016580,환인제약,코스피,의약품,15400,600,286441078000,2020-11-19,-,15400,1225,12.57,14719,1.05,300,1.95,,
001520,동양,코스피,비금속광물,1200,-10,286420875600,2020-11-19,-,1200,,,3428,0.35,40,3.33,,
012610,경인양행,코스피,화학,6920,190,285632445800,2020-11-19,-,6920,344,20.12,5357,1.29,50,0.72,,
004710,한솔테크닉스,코스피,전기전자,8810,0,282888025180,2020-11-19,-,8810,245,35.96,8145,1.08,0,0,,
079980,휴비스,코스피,화학,8110,20,2.79795e+11,2020-11-19,-,8110,,,11407,0.71,150,1.85,,
267850,아시아나IDT,코스피,서비스업,25200,-250,2.7972e+11,2020-11-19,-,25200,,,12737,1.98,500,1.98,,
344820,케이씨씨글라스,코스피,비금속광물,33400,450,278897014000,2020-11-19,-,33400,,,,,,,,
007860,서연,코스피,금융업,11850,300,278236151400,2020-11-19,-,11850,,,17990,0.66,50,0.42,,
