종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
005930,삼성전자,코스피,전기전자,73000,0,435794126150000,2020-12-21,-,73000,3166,23.06,37528,1.95,1416,1.94,,
000660,SK하이닉스,코스피,전기전자,116000,-2500,84448274340000,2020-12-21,-,116000,2943,39.42,65836,1.76,1000,0.86,,
051910,LG화학,코스피,화학,815000,1000,57532759545000,2020-12-21,-,815000,4085,199.51,217230,3.75,2000,0.25,,
207940,삼성바이오로직스,코스피,의약품,823000,21000,5.4453795e+13,2020-12-21,-,823000,3067,268.34,65812,12.51,0,0,,
068270,셀트리온,코스피,의약품,367000,11000,49544194435000,2020-12-21,-,367000,2236,164.13,20795,17.65,0,0,,
035420,NAVER,코스피,서비스업,284000,1500,46650804180000,2020-12-21,-,284000,4006,70.89,35223,8.06,376,0.13,,
005380,현대차,코스피,운수장비,187000,-2000,39955950969000,2020-12-21,-,187000,11310,16.53,253001,0.74,4000,2.14,,
006400,삼성SDI,코스피,전기전자,566000,-2000,38920723980000,2020-12-21,-,566000,5331,106.17,175114,3.23,1000,0.18,,
035720,카카오,코스피,서비스업,379500,12500,33513750880500,2020-12-21,-,379500,,,60603,6.26,127,0.03,,
051900,LG생활건강,코스피,화학,1630000,19000,25457661110000,2020-12-21,-,1630000,46431,35.11,234042,6.96,11000,0.67,,
000270,기아차,코스피,운수장비,61300,-900,24848773171100,2020-12-21,-,61300,4556,13.45,71487,0.86,1150,1.88,,
005490,POSCO,코스피,철강금속,274500,5500,23932786207500,2020-12-21,-,274500,22823,12.03,510076,0.54,10000,3.64,,
028260,삼성물산,코스피,유통업,127500,-1500,23828102827500,2020-12-21,-,127500,6366,20.03,125948,1.01,2000,1.57,,
012330,현대모비스,코스피,운수장비,249000,-1000,23668618806000,2020-12-21,-,249000,24234,10.27,339207,0.73,4000,1.61,,
017670,SK텔레콤,코스피,통신업,249000,2500,20105682039000,2020-12-21,-,249000,12144,20.5,284310,0.88,10000,4.02,,
036570,엔씨소프트,코스피,서비스업,864000,1000,18968275008000,2020-12-21,-,864000,17387,49.69,113836,7.59,5220,0.6,,
105560,KB금융,코스피,금융업,45150,200,18773727588000,2020-12-21,-,45150,8451,5.34,92672,0.49,2210,4.89,,
